date,venue,venue_num,race,night,race_type,why_bet,confidence,pred_combo,pred_prob,pred_ev,pred_odds,upset_score,wind_speed,wind_dir,wave,result_combo,payout,hit,profit,n_bets,cost
20260628,平和島,4,12,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.6177,2-1-3,0.03422,2.053,60.0,9.5,1.0,横,3,1-2-4,2070,0,-600,2,600
20260628,桐生,1,7,0,1残り荒れ型,1号艇モーター6位|超荒れ(9.3),0.5489,2-1-3,0.0309,1.702,55.1,9.272,1.0,向,1,1-3-2,980,0,-600,2,600
20260629,三国,10,6,0,モンスター型,波高3cm|モンスター3号艇|3号艇展示1位|超荒れ(9.5),0.9288,3-1-2,0.08252,5.892,71.4,9.5,3.0,横,3,1-2-4,2630,0,0,2,0
20260629,江戸川,3,1,0,1残り荒れ型,波高5cm|1号艇勝率低(4.4)|超荒れ(9.0),0.5471,1-3-2,0.03072,1.732,56.4,8.987,3.0,横,5,2-1-3,5070,0,0,1,0
20260629,三国,10,7,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.5605,1-2-3,0.03341,1.69,50.6,9.5,3.0,横,3,1-5-3,2190,0,0,1,0
20260629,三国,10,8,0,1残り荒れ型,波高3cm|1号艇勝率低(3.8)|超荒れ(9.5),0.5933,1-3-2,0.0355,1.86,52.4,9.5,3.0,横,3,2-3-4,10450,0,0,2,0
20260629,江戸川,3,3,0,1残り荒れ型,波高5cm|1号艇勝率低(4.2)|超荒れ(9.5),0.6199,1-3-2,0.03091,2.145,69.4,9.5,3.0,横,5,1-2-3,2060,0,0,1,0
20260629,三国,10,9,0,1残り荒れ型,波高3cm|1号艇勝率低(3.4)|超荒れ(9.5),0.6044,1-2-3,0.03591,1.925,53.6,9.5,3.0,横,3,4-1-5,18360,0,0,2,0
20260629,江戸川,3,4,0,1残り荒れ型,波高5cm|超荒れ(9.5),0.6396,4-1-2,0.03947,2.076,52.6,9.5,3.0,横,5,1-2-3,1500,0,0,1,0
20260629,三国,10,10,0,1残り荒れ型,波高3cm|1号艇勝率低(4.0)|超荒れ(9.5),0.5699,3-1-2,0.03173,1.793,56.5,9.5,3.0,横,3,2-3-1,2410,0,0,1,0
20260629,江戸川,3,5,0,1残り荒れ型,波高5cm|1号艇モーター5位|超荒れ(9.5),0.5348,1-2-4,0.02887,1.625,56.3,9.5,3.0,横,5,3-5-4,15440,0,0,1,0
20260629,芦屋,21,11,1,1残り荒れ型,波高3cm|1号艇モーター6位|超荒れ(9.5),0.5437,1-3-2,0.0326,1.597,49.0,9.5,3.0,横,3,3-1-6,7540,0,0,1,0
20260629,江戸川,3,6,0,1残り荒れ型,波高5cm|超荒れ(9.5),0.5146,4-1-2,0.03557,1.334,37.5,9.5,3.0,横,5,5-4-3,21990,0,0,1,0
20260629,三国,10,11,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.5922,1-2-3,0.03454,1.875,54.3,9.5,3.0,横,3,2-3-4,12200,0,0,1,0
20260629,芦屋,21,12,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.5133,4-1-2,0.03491,1.341,38.4,9.5,3.0,横,3,1-2-3,560,0,0,1,0
20260629,江戸川,3,8,0,1残り荒れ型,波高5cm|1号艇勝率低(4.4)|1号艇モーター6位|超荒れ(9.5),0.5036,4-1-2,0.02801,1.437,51.3,9.5,3.0,横,5,4-3-1,5600,0,0,1,0
20260629,江戸川,3,9,0,1残り荒れ型,波高5cm|1号艇勝率低(4.1)|超荒れ(9.5),0.5108,2-1-3,0.0308,1.42,46.1,9.5,3.0,横,5,2-1-5,5180,0,0,1,0
20260629,桐生,1,2,0,1残り荒れ型,向かい風3m|1号艇モーター5位|超荒れ(9.5),0.4957,4-1-2,0.03314,1.266,38.2,9.491,3.0,向,2,1-2-3,2330,0,0,1,0
20260629,びわこ,11,12,0,1残り荒れ型,波高5cm|1号艇モーター6位|超荒れ(9.5),0.6471,2-1-3,0.03112,2.321,74.6,9.5,2.0,横,5,1-2-4,1390,0,0,2,0
20260629,多摩川,5,10,0,1残り荒れ型,1号艇モーター5位|超荒れ(9.5),0.5464,4-1-2,0.03359,1.592,47.4,9.5,3.0,横,2,1-3-2,690,0,0,1,0
20260629,尼崎,13,12,0,1残り荒れ型,1号艇モーター5位|超荒れ(9.5),0.5071,4-1-2,0.03581,1.279,35.7,9.5,4.0,横,0,1-2-4,1140,0,0,1,0
20260629,桐生,1,3,0,1残り荒れ型,向かい風3m|荒れ(5.8),0.5761,1-3-2,0.03237,2.311,71.4,5.803,3.0,向,2,1-5-3,900,0,0,2,0
20260629,多摩川,5,11,0,1残り荒れ型,1号艇モーター5位|超荒れ(9.2),0.5758,1-3-2,0.03161,1.868,59.1,9.246,3.0,横,2,1-3-5,740,0,0,1,0
20260629,桐生,1,6,0,1残り荒れ型,向かい風3m|1号艇モーター6位|超荒れ(9.5),0.5373,4-1-2,0.0365,1.467,40.2,9.473,3.0,向,2,1-2-4,410,0,0,1,0
20260629,桐生,1,9,0,1残り荒れ型,向かい風3m|1号艇勝率低(4.9)|超荒れ(9.5),0.5352,2-1-3,0.03397,1.508,44.4,9.5,3.0,向,2,2-1-3,4340,1,0,1,0
20260630,桐生,1,5,0,1残り荒れ型,荒れ(5.3),0.4501,4-1-2,0.032,1.549,48.4,5.29,3.0,横,2,1-3-4,1380,0,-300,1,300
20260701,大村,24,7,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.5446,4-1-2,0.04189,1.387,33.1,9.5,4.0,横,3,1-4-2,1090,0,-300,1,300
20260701,大村,24,8,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.5712,4-1-2,0.03484,1.728,49.6,9.5,4.0,横,3,1-2-4,1330,0,-600,2,600
20260701,大村,24,9,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.6329,4-1-2,0.03191,2.208,69.2,9.5,4.0,横,3,1-3-2,420,0,-600,2,600
20260701,下関,19,9,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.5179,2-1-3,0.03336,1.408,42.2,9.5,3.0,横,3,6-1-5,1990,0,-300,1,300
20260701,大村,24,10,1,1残り荒れ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.5177,4-1-2,0.03719,1.317,35.4,9.5,4.0,横,3,1-2-3,630,0,-300,1,300
20260701,若松,20,6,1,1残り荒れ型,波高3cm|1号艇勝率低(4.6)|超荒れ(9.5),0.5532,1-2-4,0.02843,1.76,61.9,9.486,3.0,横,3,4-6-3,2670,0,-300,1,300
20260701,大村,24,11,1,1残り荒れ型,波高5cm|超荒れ(9.4),0.5623,4-1-2,0.03374,1.711,50.7,9.379,6.0,横,5,6-1-2,107160,0,-300,1,300
20260701,若松,20,7,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.5169,2-1-4,0.03494,1.366,39.1,9.486,3.0,横,3,1-3-6,950,0,-300,1,300
20260701,若松,20,8,1,1残り荒れ型,波高3cm|1号艇モーター6位|超荒れ(9.5),0.6649,1-3-2,0.03114,2.441,78.4,9.486,3.0,横,3,1-3-5,930,0,-300,1,300
20260701,若松,20,9,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.5438,1-2-3,0.03121,1.632,52.3,9.486,3.0,横,3,4-1-6,1020,0,-300,1,300
20260701,若松,20,10,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.564,1-3-2,0.03417,1.698,49.7,9.486,3.0,横,3,1-3-2,1360,1,3780,1,300
20260701,若松,20,11,1,1残り荒れ型,波高3cm|超荒れ(9.5),0.6634,4-1-2,0.03147,2.423,77.0,9.486,3.0,横,3,不明,0,0,-300,1,300
20260702,芦屋,21,4,1,イン逃げ型,荒れ(6.1),0.9218,1-6-2,0.14594,5.239,35.9,6.091,1.0,向,1,1-2-4,2200,0,-300,1,300
20260702,芦屋,21,5,1,イン逃げ型,荒れ(5.8),0.8999,1-6-4,0.10618,2.888,27.2,5.836,1.0,向,1,2-4-6,31950,0,-900,3,900
20260702,唐津,23,5,1,イン逃げ型,波高4cm|1号艇モーター6位|超荒れ(9.5),0.9231,1-6-4,0.08096,5.692,70.3,9.486,4.0,横,4,1-4-5,5460,0,-300,1,300
20260702,芦屋,21,6,1,イン逃げ型,1号艇モーター6位|超荒れ(9.5),0.99,1-6-3,0.10329,6.167,59.7,9.5,1.0,向,1,1-6-2,1220,0,-600,2,600
20260702,児島,16,1,0,1残り荒れ型,波高3cm|1号艇ST大幅遅れ0.31|超荒れ(9.5),0.7535,1-2-6,0.06105,2.332,38.2,9.5,3.0,横,3,3-5-1,26410,0,-1600,3,1600
20260702,芦屋,21,6,1,イン逃げ型,1号艇展示5位(最下位圏)|1号艇モーター6位|超荒れ(9.5),0.99,1-6-3,0.12452,6.961,55.9,9.5,2.0,向,2,1-6-2,1220,0,-1600,3,1600
20260702,芦屋,21,7,1,イン逃げ型,1号艇勝率低(4.4)|超荒れ(8.3),0.776,1-2-6,0.07458,2.327,31.2,8.297,2.0,向,2,2-5-1,21010,0,-600,2,600
20260702,唐津,23,7,1,イン逃げ型,波高3cm|1号艇勝率低(4.6)|超荒れ(9.5),0.8038,1-6-2,0.06873,2.488,36.2,9.5,3.0,横,3,1-5-6,6020,0,-600,2,600
20260702,児島,16,3,0,1残り荒れ型,波高3cm|超荒れ(9.1),0.8159,1-6-4,0.0862,2.215,25.7,9.095,3.0,横,3,4-5-6,12760,0,-1300,2,1300
20260702,芦屋,21,8,1,1残り荒れ型,1号艇勝率低(4.8)|1号艇モーター6位|超荒れ(9.5),0.8568,1-6-4,0.10614,2.112,19.9,9.5,2.0,向,2,2-5-1,8810,0,-300,1,300
20260702,芦屋,21,9,1,イン逃げ型,EV高値,0.7445,6-1-4,0.08804,2.289,26.0,4.649,2.0,向,2,1-4-3,580,0,-600,2,600
20260702,唐津,23,9,1,1残り荒れ型,波高3cm|1号艇勝率低(3.8)|超荒れ(9.5),0.9163,1-6-5,0.07894,5.218,66.1,9.5,3.0,横,3,1-3-5,3070,0,-600,2,600
20260702,児島,16,5,0,イン逃げ型,波高3cm|超荒れ(9.5),0.9043,1-6-4,0.07553,4.441,58.8,9.5,3.0,横,3,1-4-3,2290,0,-600,2,600
20260702,芦屋,21,10,1,イン逃げ型,超荒れ(7.9),0.8058,1-2-6,0.0571,2.992,52.4,7.857,2.0,向,2,2-4-6,12260,0,-600,2,600
20260702,唐津,23,10,1,イン逃げ型,波高3cm|超荒れ(9.5),0.99,1-6-2,0.11143,5.382,48.3,9.5,3.0,横,3,4-2-1,26570,0,-600,2,600
20260702,芦屋,21,11,1,イン逃げ型,超荒れ(9.3),0.875,1-6-5,0.06801,3.258,47.9,9.349,2.0,向,2,1-2-4,540,0,-600,2,600
20260702,唐津,23,11,1,1残り荒れ型,波高3cm|超荒れ(9.2),0.9831,1-6-4,0.10294,3.15,30.6,9.155,3.0,横,3,1-4-3,1450,0,-600,2,600
20260702,児島,16,7,0,イン逃げ型,波高3cm|超荒れ(8.5),0.7515,1-6-4,0.05061,2.697,53.3,8.487,3.0,横,3,2-4-3,17690,0,-600,2,600
20260702,芦屋,21,12,1,1残り荒れ型,1号艇モーター5位|超荒れ(9.5),0.8508,1-6-5,0.06022,4.661,77.4,9.5,2.0,向,2,3-2-5,15370,0,-300,1,300
20260702,唐津,23,12,1,イン逃げ型,波高3cm|1号艇モーター6位|超荒れ(9.5),0.8585,1-6-4,0.06242,3.695,59.2,9.5,3.0,横,3,1-4-2,840,0,-600,2,600
20260702,児島,16,9,0,イン逃げ型,波高3cm|超荒れ(9.5),0.695,6-1-4,0.08669,1.344,15.5,9.5,3.0,横,3,1-4-6,3140,0,-300,1,300
20260702,平和島,4,7,1,1残り荒れ型,波高3cm|1号艇勝率低(4.5)|超荒れ(9.5),0.99,1-6-3,0.10476,4.337,41.4,9.5,4.0,横,3,2-4-6,4010,0,-900,3,900
20260702,児島,16,9,0,イン逃げ型,波高3cm|1号艇展示1位|超荒れ(9.5),0.99,1-6-5,0.12177,8.488,69.7,9.5,3.0,横,3,1-4-6,3140,0,-600,2,600
20260702,福岡,22,6,1,イン逃げ型,向かい風3m|波高3cm|1号艇勝率低(4.8)|1号艇展示2位|超荒れ(9.5),0.99,1-6-3,0.19509,11.452,58.7,9.5,3.0,向,3,1-6-4,4230,0,-300,1,300
20260702,びわこ,11,10,0,イン逃げ型,波高3cm|超荒れ(9.5),0.7626,1-6-4,0.06275,2.353,37.5,9.5,3.0,横,3,1-4-3,1430,0,-300,1,300
20260702,福岡,22,7,1,イン逃げ型,向かい風3m|波高3cm|1号艇勝率低(5.0)|超荒れ(9.5),0.99,1-6-3,0.1118,6.294,56.3,9.5,3.0,向,3,1-6-2,800,0,-600,2,600
20260702,平和島,4,8,1,イン逃げ型,波高3cm|超荒れ(9.5),0.9289,1-6-2,0.08255,6.142,74.4,9.5,4.0,横,3,4-3-1,5830,0,-600,2,600
20260702,下関,19,1,0,イン逃げ型,追い風3m|波高3cm|1号艇勝率低(4.4)|超荒れ(9.5),0.9327,1-6-4,0.08364,3.404,40.7,9.5,3.0,追,3,1-5-4,4820,0,-600,2,600
20260702,児島,16,10,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.8878,1-6-5,0.0708,3.589,50.7,9.5,3.0,横,3,1-2-4,2100,0,-300,1,300
20260702,びわこ,11,11,0,1残り荒れ型,波高3cm|1号艇勝率低(4.8)|超荒れ(9.5),0.8126,1-6-4,0.07152,2.482,34.7,9.5,3.0,横,3,2-4-1,11370,0,-300,1,300
20260702,福岡,22,8,1,イン逃げ型,向かい風3m|波高3cm|超荒れ(9.2),0.7263,1-6-4,0.0691,2.004,29.0,9.194,3.0,向,3,1-3-2,1070,0,-300,1,300
20260702,蒲郡,7,2,0,イン逃げ型,1号艇勝率低(4.0)|1号艇モーター5位|超荒れ(9.5),0.549,1-3-6,0.03083,1.674,54.3,9.5,3.0,横,1,4-1-2,13740,0,-300,1,300
20260702,平和島,4,9,1,イン逃げ型,波高3cm|超荒れ(9.5),0.8685,6-1-5,0.0662,2.979,45.0,9.5,4.0,横,3,2-5-3,14950,0,-600,2,600
20260702,児島,16,11,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.7769,1-6-4,0.05802,2.559,44.1,9.5,3.0,横,3,1-2-4,530,0,-300,1,300
20260702,福岡,22,9,1,イン逃げ型,向かい風3m|波高3cm|1号艇モーター5位|超荒れ(9.5),0.9294,1-6-2,0.08268,3.266,39.5,9.5,3.0,向,3,4-1-3,4180,0,-300,1,300
20260702,びわこ,11,12,0,1残り荒れ型,波高3cm|超荒れ(9.5),0.7769,1-6-4,0.06207,2.464,39.7,9.5,3.0,横,3,2-1-3,4620,0,-300,1,300
20260702,下関,19,3,0,イン逃げ型,追い風3m|波高3cm|1号艇勝率低(5.0)|1号艇モーター5位|超荒れ(9.5),0.9458,1-6-2,0.08738,6.169,70.6,9.5,3.0,追,3,1-3-2,1200,0,-300,1,300
20260702,平和島,4,10,1,1残り荒れ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.66,1-3-6,0.03738,2.261,60.5,9.5,4.0,横,3,1-4-6,10960,0,-300,1,300
20260702,児島,16,12,0,1残り荒れ型,波高3cm|1号艇モーター5位|超荒れ(9.5),0.919,1-6-4,0.07972,3.221,40.4,9.5,3.0,横,3,4-6-5,18870,0,-300,1,300
20260702,福岡,22,10,1,イン逃げ型,向かい風3m|波高3cm|超荒れ(8.5),0.8908,1-2-6,0.07755,4.583,59.1,8.469,3.0,向,3,1-2-4,400,0,-300,1,300
20260702,平和島,4,11,1,イン逃げ型,波高3cm|超荒れ(9.5),0.927,6-1-4,0.08201,5.815,70.9,9.5,4.0,横,3,3-1-6,4930,0,-1300,2,1300
20260702,浜名湖,6,12,1,イン逃げ型,荒れ(6.0),0.7883,1-6-5,0.06254,4.734,75.7,5.97,4.0,横,2,1-2-3,430,0,-300,1,300
20260702,蒲郡,7,4,0,イン逃げ型,1号艇モーター6位|超荒れ(9.5),0.766,1-6-4,0.07268,2.144,29.5,9.5,3.0,横,1,1-2-3,1380,0,-300,1,300
